id,name,description,who,snomed,program_area_id,uuid,created_at,updated_at
100,"{""en"":""Ear Infections"",""pt"":null}","{""pt"":null}",,,10,2f8b1143-4ac0-4cdf-86ce-374ad239524b,"2022-11-22 11:12:41","2022-11-22 11:12:41"
101,"{""en"":""Vaccine Preventable Diseases"",""pt"":null}","{""pt"":null}",,,4,0992ccf1-dd72-4e5c-b9e8-e3aeabe649c1,"2022-11-22 12:21:49","2022-11-22 12:21:49"
102,"{""en"":""Surgical Emergencies"",""pt"":null}","{""pt"":null}",,,11,8cc41b48-8492-4b87-83e9-ca124927747c,"2022-11-22 12:29:13","2022-11-22 12:29:13"
103,"{""en"":""Idiopathic epilepsy"",""pt"":null}","{""pt"":null}",,,7,ce33c471-376f-44fe-9901-e2aff263d235,"2022-11-22 12:30:57","2023-02-27 17:38:46"
104,"{""en"":""Malnutrition and Micronutrient Deficiency"",""pt"":null}","{""pt"":null}",,,5,eac7c00e-3e7a-4b06-96bd-9bd23668ce6f,"2022-11-22 12:32:25","2022-11-22 12:32:25"
105,"{""en"":""Bites and Envenomation"",""pt"":null}","{""pt"":null}",,,4,006a0a33-4d79-4d49-98a9-87d4768bb5fc,"2022-11-22 12:33:44","2022-11-22 12:33:44"
106,"{""en"":""Burns"",""pt"":null}","{""pt"":null}",,,11,955f6fa6-ac8c-46a2-a884-51a033d505a4,"2022-11-22 12:34:34","2022-11-22 12:34:34"
107,"{""en"":""Renal Injury (acute renal failure)"",""pt"":null}","{""pt"":null}",,,6,28c7bb08-2b16-4f83-81e9-fd3fbf400157,"2022-11-23 19:23:14","2022-11-23 19:23:14"
108,"{""en"":""Childhood Cancers"",""pt"":null}","{""pt"":null}",,,2,17ed1dc6-c8a9-49a8-8652-017d1b23493c,"2022-11-23 19:25:05","2022-11-23 19:25:05"
109,"{""en"":""Sickle cell anemia\/disorder"",""pt"":null}","{""pt"":null}",,,1,274fd040-7f28-4c84-a179-0c0030f27565,"2022-11-23 23:28:50","2023-02-27 18:14:30"
110,"{""en"":""Ebola"",""pt"":null}","{""pt"":null}",,,3,7fd02b9b-16a3-4da9-98df-7a1065a71761,"2022-11-25 17:13:01","2022-11-25 17:13:01"
111,"{""en"":""Viral Hepatitis"",""pt"":null}","{""pt"":null}",,,3,5ea71e13-b4ee-4eac-b184-a705b7a5cff4,"2022-11-25 17:14:18","2022-11-25 17:14:18"
112,"{""en"":""Appendicitis"",""pt"":null}","{""pt"":null}",,,2,de02f179-eb2b-4e74-9563-dae97a631693,"2022-11-25 20:07:10","2022-11-25 20:07:10"
113,"{""en"":""Preventive Chemotherapy (PC) NTDs"",""pt"":null}","{""pt"":null}",,,4,e066ebb2-6972-4612-900c-a4e479205f27,"2022-11-25 20:07:54","2023-02-27 16:02:29"
114,"{""en"":""Drug Use Disorders"",""pt"":null}","{""pt"":null}",,,7,1af8e564-1c7c-4e24-94f2-0769d96331fd,"2022-11-26 12:05:32","2022-11-26 12:05:32"
115,"{""en"":""Alcohol Use Disorders"",""pt"":null}","{""pt"":null}",,,7,eebf850b-5647-465d-9b5c-2bec7fae7afb,"2022-11-26 12:06:00","2022-11-26 12:06:00"
